발생년도,구분,학교급,학교수,학생수,행동-일반학습,행동-실험·실습,행동-구기,행동-라켓 스포츠,행동-타겟형 스포츠,"행동-바퀴달린 
무동력스포츠",행동-육상,행동-무도,행동-수중,행동-설상·빙상,행동-체조·무용·매트운동,행동-기타 스포츠활동,행동-식사,행동-휴식,"행동-장난, 놀이",행동-씻기,행동-수면,행동-기타 일상활동,"행동-걷기/뛰기,
 오르내리기","행동-(교통수단 등) 운전, 조작, 탑승 중",행동-싸움,행동-기타,활동-이론수업,활동-실험/실습,활동-체육,활동-자유놀이활동시간,활동-대소집단활동시간,활동-창의적 체험,활동-특별활동시간,활동-등·하교,활동-학교체류,활동-그 밖의 교육활동 시간,장소-교수학습 및 학습지원공간,장소-관리·행정공간,장소-체육·집회공간,장소-보건·위생공간,장소-공용공간,장소-기타 교내,장소-문화·체육공간,장소-교통구역(스쿨존 내),장소-교통구역(스쿨존 외),장소-자연,장소-기타 교외,"형태-부딪힘
(교통사고 포함)",형태-끼임·눌림,형태-낙상,형태-스스로 신체에 충격을 가함(염좌·삐임),형태-긁힘·베임·절단·찔림,형태-물림·쏘임,"형태-열, 전기에 의한 손상",형태-냉에 의한 손상,형태-화학물질 노출,형태-호흡 곤란,"형태-식중독 및 이물질 섭취, 접촉",형태-그 밖의 손상 사고
2024,강원,중학교,160,"36,830",89,23,1120,80,10,5,74,27,2,7,27,67,14,77,212,3,1,41,222,8,0,53,31,45,859,0,0,185,167,52,734,89,247,2,1466,10,270,34,89,11,3,13,17,1001,48,436,511,80,13,9,0,4,3,1,56
2024,강원,고등학교,115,"36,675",69,34,717,41,3,6,27,41,7,7,17,50,75,21,45,3,1,28,111,6,0,29,11,35,467,0,0,57,232,44,433,59,132,1,871,6,100,75,114,11,4,3,21,452,23,258,400,35,2,19,1,4,2,99,43
2024,강원,특수학교,9,919,3,1,0,0,1,1,0,0,0,0,0,2,1,1,2,1,0,1,7,0,0,1,1,4,2,0,0,1,3,0,10,1,8,0,4,1,3,2,1,1,0,1,1,3,0,9,3,1,0,1,0,0,1,0,4
2024,충북,유치원,316,"13,823",40,0,5,0,0,0,8,0,0,0,0,11,16,2,51,5,0,46,19,1,0,41,0,0,0,66,92,3,14,7,49,14,120,0,64,6,26,10,16,0,1,0,2,100,9,60,18,33,0,5,0,0,0,0,20
2024,충북,초등학교,255,"78,167",133,33,654,34,9,14,139,19,6,1,50,116,34,125,315,19,1,70,303,4,0,42,27,80,676,0,0,105,90,103,945,95,397,0,1146,29,390,47,87,9,2,4,10,961,71,523,376,108,0,21,0,9,1,2,49
2024,충북,중학교,129,"42,385",54,29,996,51,9,9,70,52,0,2,18,55,19,64,181,2,0,69,229,18,0,32,21,41,702,0,0,153,198,66,686,92,215,1,1295,9,250,40,102,15,17,2,13,876,35,447,439,71,1,17,0,1,6,10,56
2024,충북,고등학교,84,"40,338",40,39,550,41,2,6,41,39,2,2,11,49,14,32,28,3,0,24,92,10,0,29,11,34,334,0,0,30,247,29,307,62,106,1,695,4,72,30,92,4,10,8,32,386,17,227,289,68,3,13,0,3,3,0,45
2024,충북,특수학교,11,"1,463",2,3,5,0,0,3,0,0,0,1,0,4,3,1,2,2,0,2,9,1,0,9,4,4,5,0,0,3,8,4,16,3,11,0,10,2,7,4,5,1,2,2,3,13,0,16,7,1,0,1,0,0,0,0,9
2024,충남,유치원,494,"20,626",66,0,11,0,0,2,16,0,11,0,1,22,11,4,113,6,0,59,36,1,0,40,0,0,0,109,153,4,28,10,79,16,184,1,118,11,24,9,40,3,2,3,4,156,13,94,41,52,6,4,0,0,0,0,33
2024,충남,초등학교,416,"111,875",180,25,866,53,10,27,161,30,18,13,60,107,57,171,580,22,1,98,488,26,1,92,49,85,897,0,0,92,123,172,1551,117,582,6,1619,40,591,75,112,20,32,4,5,1275,98,821,598,178,2,22,0,2,0,2,88
2024,충남,중학교,185,"60,336",95,34,1302,97,11,10,90,24,2,5,30,83,23,136,227,5,0,66,273,7,2,51,44,64,936,0,0,230,174,65,944,116,328,3,1724,26,330,45,82,12,5,3,15,1138,62,531,611,108,3,10,0,23,2,0,85
2024,충남,고등학교,118,"59,239",51,41,827,66,2,3,68,57,3,2,13,64,19,35,44,14,3,31,165,4,0,30,17,33,537,0,0,62,255,46,499,93,111,1,1088,12,144,79,74,12,3,6,12,523,29,329,521,53,10,12,0,0,4,3,58
2024,충남,특수학교,10,"1,440",4,0,2,0,0,0,3,0,0,0,0,2,0,3,0,2,0,2,7,1,0,3,4,1,3,0,0,1,1,5,13,1,10,1,9,1,6,1,1,0,0,0,0,8,1,10,4,2,0,1,0,0,0,0,3
2024,전북,유치원,474,"16,014",67,1,6,1,1,5,15,0,2,0,3,14,8,4,119,10,1,48,49,6,0,36,1,0,0,129,121,7,18,12,89,19,184,1,103,13,37,10,35,7,1,2,3,143,20,97,37,59,2,6,0,1,1,2,28
2024,전북,초등학교,415,"82,220",179,37,907,43,11,18,127,11,11,8,26,170,53,191,523,23,1,93,519,6,6,58,45,83,829,0,0,97,106,149,1600,112,541,4,1519,42,676,109,93,16,7,5,9,1260,94,785,567,188,5,25,0,1,2,27,67
2024,전북,중학교,210,"48,014",85,13,1230,83,5,16,66,28,2,1,19,81,36,88,200,4,2,50,267,12,1,49,36,44,736,0,0,208,269,70,846,129,241,3,1537,13,315,67,105,15,12,12,18,1066,60,480,539,87,1,6,1,2,2,15,79
2024,전북,고등학교,133,"48,561",48,54,828,47,1,9,53,54,1,0,9,49,53,42,32,4,1,31,158,14,0,41,15,45,493,0,0,65,258,58,491,104,121,5,999,6,112,114,103,16,9,12,32,515,26,327,478,64,5,9,0,1,4,37,63
2024,전북,특수학교,10,"1,189",6,1,3,0,0,0,0,0,0,0,2,0,3,0,0,0,0,3,2,0,0,1,2,2,3,0,0,3,0,0,9,2,10,0,5,0,5,1,0,0,0,0,0,9,0,4,4,1,0,0,0,0,0,1,2
2024,전남,유치원,500,"14,676",46,2,5,0,0,1,9,0,1,0,3,4,9,6,41,2,0,28,16,1,0,13,0,0,1,47,72,1,13,6,41,6,99,1,44,6,15,5,13,2,0,2,0,94,8,45,8,17,0,5,0,0,0,1,9
2024,전남,초등학교,426,"82,138",124,16,555,23,5,24,112,15,3,11,37,84,31,98,340,10,0,76,308,8,0,43,37,60,581,0,0,48,99,74,957,67,337,1,1057,20,348,38,93,10,8,7,4,781,60,528,399,97,3,8,0,2,2,1,42
2024,전남,중학교,251,"46,464",61,11,882,51,1,14,54,18,2,2,27,53,20,39,108,2,1,36,187,4,1,38,15,40,603,0,0,170,139,26,560,59,137,0,1123,7,198,30,78,6,5,15,13,697,42,299,475,41,4,13,0,0,2,2,37
2024,전남,고등학교,144,"45,734",45,42,531,29,0,2,39,16,2,0,7,22,14,19,23,6,4,37,117,1,0,22,12,27,302,0,0,36,167,38,367,29,82,0,665,9,91,59,51,3,6,4,8,350,14,218,301,41,1,16,0,5,1,0,31
2024,전남,특수학교,9,"1,241",1,0,1,1,0,0,0,0,0,0,1,0,0,1,1,2,0,0,3,0,0,1,1,1,0,0,0,2,1,2,4,1,4,0,3,0,4,0,1,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,1
2024,경북,유치원,645,"27,164",85,2,11,0,0,0,26,0,2,0,1,20,14,12,132,8,0,72,53,1,0,44,3,0,0,140,191,3,30,23,85,8,217,1,132,11,53,16,41,1,1,8,2,201,20,117,48,49,8,2,0,0,0,2,36
2024,경북,초등학교,468,"117,023",242,28,948,47,9,18,188,36,21,8,63,118,48,197,577,27,0,110,525,10,0,62,93,93,925,0,0,100,148,208,1600,115,548,2,1780,60,636,74,134,16,9,1,22,1352,87,876,636,193,5,39,0,4,1,8,81
2024,경북,중학교,257,"62,628",96,32,1492,92,2,5,116,43,1,3,23,90,24,116,198,2,0,71,310,15,0,51,24,59,1156,0,0,173,230,82,954,104,300,4,1926,15,302,45,125,14,18,4,29,1244,57,573,706,87,6,23,4,1,5,0,76
2024,경북,고등학교,183,"64,158",106,81,1073,65,2,10,73,48,3,2,17,64,30,73,55,25,2,50,227,8,0,44,14,64,686,0,0,79,243,64,780,128,180,2,1357,15,177,158,111,11,11,10,26,713,29,444,610,100,9,19,0,3,3,34,94
2024,경북,특수학교,8,"1,534",6,2,6,0,0,0,2,0,0,0,1,3,1,2,0,1,0,6,5,0,0,2,4,4,4,0,0,1,6,1,13,4,11,0,12,3,7,2,1,0,0,0,1,6,2,9,7,4,0,2,0,0,1,0,6
2024,경남,유치원,658,"36,931",136,3,14,0,1,3,19,1,1,0,3,8,23,12,147,13,0,124,61,4,0,93,0,0,1,202,234,12,25,29,131,32,343,2,151,16,57,14,49,4,2,17,11,276,23,170,44,83,8,5,0,0,2,1,54
2024,경남,초등학교,508,"171,748",323,42,1501,78,16,14,281,44,14,14,68,201,63,283,1042,24,0,189,952,5,2,101,73,138,1480,0,0,134,208,271,2808,145,912,5,2796,84,1096,147,157,28,9,5,18,2122,153,1424,1149,273,4,41,0,2,0,3,86
2024,경남,중학교,266,"93,928",202,54,2726,169,14,12,157,33,0,2,32,194,33,154,313,7,3,140,583,21,0,92,69,95,2093,0,0,441,336,153,1604,150,491,6,3544,29,588,63,140,34,19,8,19,2191,81,1030,1302,176,6,21,0,1,5,1,127
2024,경남,고등학교,192,"89,398",117,96,1451,102,5,4,116,33,3,1,18,93,25,52,69,8,3,61,368,12,0,54,27,99,1036,0,0,94,364,122,840,109,236,2,1881,12,281,102,98,27,24,11,17,900,40,617,884,108,7,42,0,2,6,3,82
2024,경남,특수학교,11,"2,049",11,0,1,0,1,1,0,0,0,0,2,2,0,1,1,1,0,1,8,2,0,3,4,3,8,0,0,2,2,6,6,4,11,0,13,1,5,1,1,1,2,0,0,9,0,18,4,1,0,0,0,0,1,0,2
2024,제주,유치원,120,"5,405",20,0,6,0,0,1,5,0,1,0,1,10,4,2,40,1,0,25,19,1,0,17,0,0,0,52,64,1,3,1,27,5,67,0,52,2,12,7,12,1,0,0,0,59,8,41,18,18,0,2,0,0,0,0,7
2024,제주,초등학교,114,"38,671",88,16,678,28,6,9,83,12,13,0,21,97,15,94,307,11,0,63,245,3,0,40,30,49,563,0,0,50,76,81,911,69,317,1,1112,26,255,43,54,8,2,3,8,820,64,413,415,54,4,10,0,2,2,1,44
2024,제주,중학교,45,"20,139",30,10,995,48,3,7,42,8,1,0,13,48,5,39,84,2,0,23,121,2,0,17,16,20,649,0,0,133,121,23,472,64,105,1,1206,8,103,16,45,4,6,0,4,741,25,267,403,28,0,5,0,0,1,0,28
2024,제주,고등학교,30,"18,833",21,21,513,37,0,8,20,14,0,1,5,44,7,16,18,1,0,12,70,4,0,14,11,19,333,0,0,48,120,16,242,37,59,1,630,3,50,22,40,4,4,3,10,294,12,154,303,26,1,2,0,3,1,0,30
2024,제주,특수학교,3,595,4,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,3,2,1,1,0,5,0,3,0,0,0,1,0,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0
